"filename", "language", "HTML", "JavaScript", "CSS", "Log", "comment", "blank", "total"
"d:\negoc\Documents\concursoCartelesEscuela\public\404.html", "HTML", 32, 0, 0, 0, 0, 2, 34
"d:\negoc\Documents\concursoCartelesEscuela\public\adminCarteles.html", "HTML", 121, 0, 0, 0, 0, 5, 126
"d:\negoc\Documents\concursoCartelesEscuela\public\adminJueces.html", "HTML", 92, 0, 0, 0, 0, 5, 97
"d:\negoc\Documents\concursoCartelesEscuela\public\adminPreguntas.html", "HTML", 108, 0, 0, 0, 0, 6, 114
"d:\negoc\Documents\concursoCartelesEscuela\public\evaluacionContenido.html", "HTML", 53, 0, 0, 0, 0, 6, 59
"d:\negoc\Documents\concursoCartelesEscuela\public\evaluacionForma.html", "HTML", 58, 0, 0, 0, 0, 7, 65
"d:\negoc\Documents\concursoCartelesEscuela\public\evaluacionPertinencia.html", "HTML", 53, 0, 0, 0, 0, 6, 59
"d:\negoc\Documents\concursoCartelesEscuela\public\firebase-debug.log", "Log", 0, 0, 0, 27, 0, 3, 30
"d:\negoc\Documents\concursoCartelesEscuela\public\index.html", "HTML", 33, 0, 0, 0, 0, 3, 36
"d:\negoc\Documents\concursoCartelesEscuela\public\js\Classes\DBDriver.js", "JavaScript", 0, 104, 0, 0, 0, 8, 112
"d:\negoc\Documents\concursoCartelesEscuela\public\js\Classes\cartel.js", "JavaScript", 0, 10, 0, 0, 0, 0, 10
"d:\negoc\Documents\concursoCartelesEscuela\public\js\Classes\juez.js", "JavaScript", 0, 7, 0, 0, 0, 0, 7
"d:\negoc\Documents\concursoCartelesEscuela\public\js\Classes\pregunta.js", "JavaScript", 0, 9, 0, 0, 0, 0, 9
"d:\negoc\Documents\concursoCartelesEscuela\public\js\Classes\preguntaEvaluacion.js", "JavaScript", 0, 47, 0, 0, 1, 11, 59
"d:\negoc\Documents\concursoCartelesEscuela\public\js\Classes\preguntaEvaluacionP.js", "JavaScript", 0, 33, 0, 0, 0, 9, 42
"d:\negoc\Documents\concursoCartelesEscuela\public\js\Classes\row.js", "JavaScript", 0, 40, 0, 0, 0, 13, 53
"d:\negoc\Documents\concursoCartelesEscuela\public\js\adminCartelesCodigo.js", "JavaScript", 0, 174, 0, 0, 0, 13, 187
"d:\negoc\Documents\concursoCartelesEscuela\public\js\adminJuecesCodigo.js", "JavaScript", 0, 134, 0, 0, 0, 12, 146
"d:\negoc\Documents\concursoCartelesEscuela\public\js\adminPreguntasCodigo.js", "JavaScript", 0, 159, 0, 0, 0, 13, 172
"d:\negoc\Documents\concursoCartelesEscuela\public\js\codigoBase.js", "JavaScript", 0, 31, 0, 0, 0, 3, 34
"d:\negoc\Documents\concursoCartelesEscuela\public\js\evaluacionContenido.js", "JavaScript", 0, 117, 0, 0, 0, 8, 125
"d:\negoc\Documents\concursoCartelesEscuela\public\js\evaluacionForma.js", "JavaScript", 0, 192, 0, 0, 0, 12, 204
"d:\negoc\Documents\concursoCartelesEscuela\public\js\evaluacionPertinencia.js", "JavaScript", 0, 140, 0, 0, 0, 8, 148
"d:\negoc\Documents\concursoCartelesEscuela\public\js\indexCodigo.js", "JavaScript", 0, 37, 0, 0, 0, 2, 39
"d:\negoc\Documents\concursoCartelesEscuela\public\js\nueva-evaluacionCodigo.js", "JavaScript", 0, 90, 0, 0, 0, 10, 100
"d:\negoc\Documents\concursoCartelesEscuela\public\js\resumenEvaluacion.js", "JavaScript", 0, 102, 0, 0, 0, 10, 112
"d:\negoc\Documents\concursoCartelesEscuela\public\nueva-evaluacion.html", "HTML", 68, 0, 0, 0, 0, 6, 74
"d:\negoc\Documents\concursoCartelesEscuela\public\resumenEvaluacion.html", "HTML", 50, 0, 0, 0, 0, 7, 57
"d:\negoc\Documents\concursoCartelesEscuela\public\styles\diseñoBase.css", "CSS", 0, 0, 102, 0, 0, 17, 119
"d:\negoc\Documents\concursoCartelesEscuela\public\styles\diseñoBaseTab.css", "CSS", 0, 0, 58, 0, 0, 10, 68
"d:\negoc\Documents\concursoCartelesEscuela\public\styles\diseñoEvaluacion.css", "CSS", 0, 0, 84, 0, 0, 14, 98
"d:\negoc\Documents\concursoCartelesEscuela\public\styles\diseñoEvaluacionP.css", "CSS", 0, 0, 78, 0, 0, 13, 91
"d:\negoc\Documents\concursoCartelesEscuela\public\styles\indexStyle.css", "CSS", 0, 0, 44, 0, 0, 6, 50
"d:\negoc\Documents\concursoCartelesEscuela\public\styles\nuevaEvaluacionStyle.css", "CSS", 0, 0, 18, 0, 0, 4, 22
"d:\negoc\Documents\concursoCartelesEscuela\public\styles\resumenEvaluacionStyle.css", "CSS", 0, 0, 51, 0, 0, 11, 62
"Total", "-", 668, 1426, 435, 27, 1, 263, 2820
